asterisk,clients,avg,sd
Default,10,212524.729208398,84644.4868853921
Default,20,223054.307865169,101815.652262404
Default,30,250051.435464219,120633.010701688
Default,40,271613.964983444,96905.9856645865
Default,50,307720.271353657,96816.1344675603
Default,60,319497.626129827,93712.3942200244
Default,70,346285.707345065,93654.547425791
Default,80,377543.039069283,75400.3722248972
Default,90,406512.455696203,72925.5693649194
Default,100,427850.933442147,60456.6325111379
One,10,2557265.28650504,120883.636660968
One,20,4994125.32944979,205625.758008357
One,30,7201364.72821072,271801.523559837
One,40,9406811.40170059,300500.714842387
One,50,11753172.953008,337845.488039723
One,60,13962590.2301706,302869.45587079
One,70,16090574.8621099,272696.611669455
One,80,18003070.3166747,413436.589692353
One,90,20277891.123871,352420.577541733
One,100,22579608.0982368,376416.810771092
Two,20,2638019.93811075,213212.925027045
Two,40,5229374.316466,323313.738513291
Two,60,7745427.36666667,383798.838898464
Two,80,10243446.85,351686.13203473
Two,100,13163731.2657343,329675.322457562
